tag,acomp,advcl,advmod,agent,amod,appos,attr,aux,auxpass,cc,ccomp,complm,conj,csubj,csubjpass,dep,det,dobj,expl,hmod,hyph,infmod,intj,iobj,mark,meta,neg,nmod,npadvmod,nsubj,nsubjpass,number,oprd,parataxis,partmod,pcomp,pobj,poss,possessive,preconj,predet,prep,prt,punct,quantmod,rcmod,root,xcomp
GER,0,23,6,0,5,0,4,1,1,1,14,0,24,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,5,36,1,0,0,0,34,0,0,0,0,0,6
TUR,9,20,0,0,2,0,13,0,0,0,6,0,25,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,39,2,0,0,0,33,0,0,0,0,0,28
JPN,3,60,0,1,0,0,6,0,0,0,14,0,4,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,34,0,0,0,0,27,0,0,0,0,0,15
HIN,4,32,2,0,2,3,9,0,0,2,20,0,21,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,22,1,0,0,0,23,0,0,0,0,0,22
TEL,1,26,4,0,3,0,11,0,0,1,42,0,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,1,15,3,0,1,0,0,7,34,0,0,4,0,44,0,1,0,0,0,10
HIN,6,10,2,0,3,0,5,0,0,2,25,0,26,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,22,2,0,0,0,0,2,39,0,0,0,0,29,0,0,0,0,0,30
TUR,0,0,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0
TEL,7,12,2,0,0,0,0,0,0,3,13,0,26,2,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,3,51,1,0,1,0,52,0,0,0,0,0,21
GER,6,13,2,0,3,0,9,0,0,1,23,0,48,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,2,21,0,0,0,0,26,0,0,0,0,0,22
FRE,4,15,1,0,2,1,10,0,1,0,37,0,17,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,1,22,0,0,4,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30
ITA,4,20,0,0,0,0,4,0,0,0,27,0,1,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,6,15,0,0,0,0,0,5,10,0,0,0,0,19,0,0,0,0,0,11
JPN,3,21,0,0,4,0,3,0,0,0,13,0,14,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,14,1,0,3,0,0,3,27,0,0,0,0,26,0,0,0,0,0,12
TUR,0,10,1,5,3,0,13,0,0,0,14,0,9,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,9,5,0,1,0,0,7,36,0,0,0,0,31,0,0,0,0,0,2
KOR,5,46,1,0,1,0,13,0,0,1,27,0,45,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,24,0,0,1,0,33,0,0,0,0,0,34
TEL,1,15,4,1,0,10,7,0,0,0,10,0,45,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,4,23,0,0,0,4,0,6,62,0,0,0,0,45,0,0,0,0,0,14
SPA,0,73,1,0,3,4,12,0,0,0,51,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,20,5,0,2,0,0,3,43,2,0,0,0,41,0,0,0,0,0,7
FRE,3,39,2,1,2,0,8,0,0,0,16,0,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,4,30,2,0,3,0,27,0,0,0,0,0,16
TEL,11,14,5,0,1,0,4,0,0,0,57,0,15,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,14,3,0,0,2,0,18,40,0,0,0,0,45,0,0,0,0,0,19
CHI,3,27,0,1,0,1,5,0,0,0,10,0,17,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,39,0,0,0,0,32,0,0,0,0,0,15
KOR,6,15,1,0,1,0,10,0,0,0,24,0,8,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,12,32,1,0,0,0,39,0,0,0,0,0,14
HIN,12,16,4,0,5,2,8,0,0,0,24,0,34,0,0,0,0,17,0,0,0,0,1,0,0,0,0,2,0,27,4,0,0,0,0,8,38,0,0,0,0,46,0,0,0,0,0,13
SPA,4,28,0,0,2,0,9,0,2,0,29,0,42,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,2,23,0,0,0,5,35,0,0,0,0,0,26
TUR,2,8,3,0,2,0,2,0,0,0,9,0,12,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,1,11,0,0,0,0,13,0,0,0,0,0,7
ARA,8,7,2,0,1,0,8,0,0,0,22,0,22,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,30,2,0,0,0,35,0,0,0,0,0,20
HIN,8,28,1,0,9,0,12,0,0,2,17,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,10,1,0,0,0,0,6,54,0,0,0,0,42,0,0,0,0,0,11
ARA,5,12,2,0,0,0,0,0,0,0,12,0,9,0,0,0,0,13,0,0,0,0,2,0,0,0,1,0,0,8,0,0,2,0,0,1,15,0,0,0,0,17,0,0,0,0,0,4
SPA,6,16,1,0,5,0,8,0,2,0,8,0,27,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,8,43,1,0,0,0,33,0,0,0,0,0,9
JPN,4,18,2,3,3,5,15,0,1,0,17,0,24,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,22,0,0,1,0,0,5,34,0,0,0,0,34,0,0,0,0,0,10
FRE,2,39,3,0,7,0,6,0,0,0,36,0,47,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,3,15,0,0,0,0,19,0,0,0,0,0,15
JPN,8,21,0,1,0,0,3,0,0,0,38,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,2,15,6,0,0,0,23,0,0,0,0,0,10
JPN,7,37,2,0,1,0,11,0,0,0,40,0,4,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,19,0,0,0,0,19,0,1,0,0,0,13
SPA,5,13,3,0,3,2,20,0,0,0,18,0,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,6,0,3,46,0,0,0,0,42,0,0,0,0,0,6
CHI,6,38,1,1,5,0,29,0,0,1,42,0,9,4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,9,44,9,0,2,0,49,0,0,0,0,0,12
FRE,11,39,5,1,5,0,10,0,0,0,50,0,41,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,3,19,0,0,0,0,27,0,1,0,0,0,18
ARA,0,23,2,2,0,0,1,0,0,0,33,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,15,1,0,2,0,0,4,20,0,0,0,0,20,0,0,0,0,0,12
KOR,9,37,4,1,5,0,9,0,0,0,30,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,9,0,0,0,0,15,0,0,0,0,0,10
TEL,0,31,2,1,0,0,13,0,0,0,35,0,25,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,52,0,0,0,0,44,0,0,0,0,0,8
TUR,1,16,4,0,2,0,9,0,0,0,13,0,29,2,0,2,0,36,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,6,29,0,0,0,0,31,0,0,0,0,0,32
FRE,5,29,3,0,0,0,1,1,0,0,9,0,32,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,4,31,0,0,0,0,26,0,0,0,0,0,25
JPN,9,16,0,0,4,1,4,0,0,1,56,0,13,2,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,24,1,0,0,0,21,0,0,0,0,0,13
TUR,5,25,1,1,0,0,14,0,0,0,15,0,21,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,27,1,0,0,0,0,1,35,2,0,0,0,33,0,0,0,0,0,10
ITA,3,30,3,0,0,2,9,0,0,0,25,0,31,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,5,28,1,0,0,6,0,9,31,1,0,0,0,38,0,0,0,0,0,28
HIN,9,32,4,2,0,6,5,0,0,0,3,0,29,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,2,24,2,0,0,0,0,2,44,0,0,0,0,30,0,1,0,0,0,14
JPN,1,18,0,2,0,5,0,0,0,0,13,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,14,0,0,0,0,10,0,0,0,0,0,10
KOR,7,60,4,0,6,0,0,0,0,0,40,0,38,6,0,1,0,53,0,0,0,0,0,0,0,0,0,0,3,15,1,0,0,0,0,2,27,1,0,0,0,19,0,1,0,0,0,23
FRE,8,14,3,1,0,0,8,3,0,1,19,0,26,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,23,2,0,0,0,0,6,45,0,0,0,0,32,0,1,0,0,0,15
TEL,5,15,1,0,2,0,1,0,0,0,14,0,15,2,0,2,0,39,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,1,0,5,34,0,0,0,0,35,0,0,0,0,0,6
KOR,8,53,5,1,4,6,8,0,4,2,41,0,27,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,6,69,0,0,0,0,51,0,0,0,0,0,32
HIN,3,23,2,3,1,0,6,0,0,0,25,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,11,3,0,2,0,0,6,57,0,0,0,0,46,0,0,0,0,0,13
CHI,4,63,4,0,3,0,13,0,0,1,35,0,29,0,0,0,0,32,0,0,0,0,0,0,1,0,1,0,0,16,0,0,8,0,0,7,16,5,0,0,0,21,0,1,0,0,0,30
JPN,3,26,3,1,11,0,14,0,0,2,43,0,29,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,3,0,10,19,0,0,0,0,30,0,0,0,0,0,21
KOR,8,32,6,0,8,0,10,0,0,0,11,0,31,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,0,0,20,0,0,0,0,22,0,0,0,0,0,13
SPA,13,49,5,1,2,0,11,0,0,0,52,0,31,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,10,3,0,0,1,0,1,20,3,0,0,0,18,0,0,0,0,0,22
KOR,2,59,4,7,10,0,8,0,0,0,22,0,28,2,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,62,4,0,0,0,41,0,1,0,0,0,10
KOR,6,19,0,1,0,0,2,0,0,0,17,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,7
