tag,acomp,advcl,advmod,agent,amod,appos,attr,aux,auxpass,cc,ccomp,complm,conj,csubj,csubjpass,dep,det,dobj,expl,hmod,hyph,infmod,intj,iobj,mark,meta,neg,nmod,npadvmod,nsubj,nsubjpass,number,oprd,parataxis,partmod,pcomp,pobj,poss,possessive,preconj,predet,prep,prt,punct,quantmod,rcmod,root,xcomp
HIN,1,53,1,0,5,1,3,0,0,0,20,0,30,4,0,0,0,48,0,0,0,0,0,0,1,0,0,0,1,13,1,0,0,0,0,5,63,4,0,0,0,62,0,0,0,0,0,17
ARA,0,29,1,3,2,2,3,0,0,0,13,0,32,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,11,42,0,0,0,0,42,0,0,0,0,0,7
HIN,9,19,1,3,3,0,0,0,0,0,6,0,9,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,2,60,0,0,0,0,37,0,0,0,0,0,18
JPN,4,25,0,0,0,0,6,0,0,0,12,0,40,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,9
HIN,5,26,0,1,2,2,8,0,0,2,25,0,37,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,16,23,0,0,0,0,33,0,0,0,0,0,12
TUR,14,11,5,2,2,2,14,2,1,0,51,0,10,2,0,2,0,22,0,0,0,0,0,0,0,0,0,2,0,23,1,0,0,0,0,3,22,0,0,0,0,30,0,0,0,0,0,3
SPA,6,66,0,0,1,0,11,0,0,1,41,0,50,0,0,4,0,44,0,0,0,0,0,0,1,0,1,0,0,29,0,0,0,0,0,10,23,0,0,0,0,22,0,0,0,0,0,25
JPN,7,35,2,0,1,0,5,0,0,0,12,0,27,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,22,0,0,0,0,32,0,0,0,0,0,9
GER,2,25,2,0,0,1,7,0,0,0,30,0,10,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,4,25,2,0,0,0,22,0,0,0,0,0,10
JPN,7,22,3,0,0,0,5,0,0,1,40,0,22,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,20,0,0,1,1,23,0,0,0,0,0,4
TEL,6,16,0,1,2,0,9,1,0,1,20,0,8,0,0,3,2,10,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,28,3,0,0,0,24,0,0,0,0,0,19
KOR,4,28,2,0,0,0,10,0,0,1,17,0,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,5,26,2,0,0,0,38,0,1,0,0,0,5
HIN,2,23,4,0,0,3,6,0,0,0,32,0,13,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,25,0,0,0,0,23,0,1,0,0,0,27
JPN,2,12,3,1,2,0,6,0,0,0,22,0,28,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,9,2,0,0,0,14,0,1,0,0,0,10
KOR,8,19,1,1,1,0,14,4,0,0,26,0,23,4,4,1,0,30,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,10,19,0,0,1,0,31,0,1,0,0,0,26
ARA,2,21,2,0,0,5,7,0,0,0,20,0,37,0,0,0,0,12,0,0,0,0,0,0,1,0,2,0,0,18,0,0,3,0,0,0,25,0,0,0,0,19,0,0,0,0,0,0
SPA,4,44,2,0,2,3,13,0,0,0,76,0,60,7,0,4,0,13,0,0,0,0,0,0,0,0,0,0,10,12,3,0,3,0,0,0,18,2,0,0,0,19,0,2,0,0,0,16
GER,16,11,4,2,8,0,12,0,2,1,11,0,49,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,10,47,0,0,1,0,38,0,0,0,0,0,7
ITA,6,29,8,2,1,0,4,0,0,0,44,0,39,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,16,0,0,2,0,0,0,37,2,0,0,0,35,0,0,0,0,0,2
ARA,2,7,0,0,0,0,6,1,0,2,36,0,33,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,14,1,0,0,0,17,0,0,0,0,0,39
CHI,0,33,4,1,2,0,5,0,0,0,38,0,19,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,3,23,4,0,0,0,0,3,10,2,0,0,0,20,0,0,0,0,0,8
JPN,6,43,2,0,1,0,5,0,0,1,25,0,17,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,13,0,0,0,0,18,0,0,0,0,0,12
ITA,4,22,0,0,2,0,4,0,1,0,8,0,23,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,1,33,0,0,0,0,35,0,0,0,0,0,5
TUR,2,18,3,0,0,0,10,0,0,0,29,0,22,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,27,0,0,0,0,27,0,1,0,0,0,16
TUR,1,20,3,0,5,0,7,1,0,1,5,0,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,22,0,0,1,0,31,0,1,0,0,0,13
TUR,3,12,4,1,6,4,8,0,0,2,15,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,21,4,0,2,0,0,0,54,4,0,2,0,42,0,0,0,0,0,7
JPN,4,9,0,1,0,0,2,0,0,0,15,0,16,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,13,0,0,0,0,12,1,0,0,0,0,6
CHI,11,36,0,0,0,0,25,0,0,2,57,0,36,6,0,0,1,17,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,4,6,4,0,0,0,11,0,0,0,0,0,34
ARA,0,12,1,1,0,0,0,0,0,0,3,0,8,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,15,0,0,0,0,11,0,0,0,0,0,13
HIN,4,21,4,0,2,0,8,1,0,2,30,0,32,5,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,8,43,2,0,0,0,39,0,1,0,0,0,7
FRE,1,17,3,0,4,1,7,1,0,2,21,0,26,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,28,0,0,0,0,29,0,1,0,0,0,19
JPN,9,28,0,0,0,5,11,0,0,0,27,0,8,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,0,36,1,0,0,0,33,0,0,0,0,0,16
TUR,0,16,2,0,1,0,15,0,0,0,16,0,10,0,0,0,0,23,0,0,0,0,0,0,1,0,0,2,1,12,0,0,0,3,0,5,20,0,0,0,0,24,0,0,0,0,0,25
GER,11,29,0,0,1,4,8,0,0,0,23,0,10,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,2,29,1,0,0,0,24,0,0,0,0,0,39
KOR,4,17,6,0,0,0,5,0,0,0,24,0,17,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,3,23,0,0,0,0,29,0,0,0,0,0,12
JPN,0,17,4,0,0,2,3,0,0,0,13,0,7,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,16,0,1,0,0,0,5
ARA,1,15,0,0,1,0,4,0,0,0,21,0,6,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,22,0,0,0,0,18,0,0,0,0,0,5
JPN,3,5,2,2,5,0,2,0,0,0,26,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,19,1,0,0,0,25,1,0,0,0,0,6
GER,4,3,2,0,6,0,7,0,0,0,25,0,27,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,47,4,0,0,0,41,0,0,0,0,0,7
CHI,8,24,3,3,4,0,12,0,0,0,24,0,16,2,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,53,2,0,0,0,41,0,0,0,0,0,19
CHI,3,13,0,0,3,0,12,0,0,3,30,0,6,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,6,33,0,0,0,0,30,0,0,0,0,0,11
SPA,9,29,2,0,1,0,2,0,0,0,29,0,36,9,0,9,0,35,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,2,0,0,25,5,0,0,0,18,0,0,0,0,0,33
TUR,7,30,4,0,4,3,8,0,0,0,37,0,17,0,0,2,1,44,0,0,0,0,0,0,0,0,0,2,2,19,1,0,0,0,0,9,56,0,0,0,0,44,0,2,0,0,0,12
TUR,13,34,8,0,4,0,5,0,0,0,25,0,32,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,1,38,1,0,0,0,34,0,0,0,0,0,18
KOR,4,22,0,0,0,0,9,0,0,0,15,0,9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,34,1,0,0,0,32,0,0,0,0,0,20
TUR,5,41,2,0,1,0,7,0,0,0,26,0,31,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,17,4,0,5,0,0,3,29,0,0,0,0,34,0,1,0,0,0,5
KOR,5,18,0,1,5,0,8,0,0,2,17,0,10,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,22,6,0,0,0,0,0,26,0,0,0,0,28,0,0,0,0,0,12
ARA,6,37,3,0,2,0,3,0,0,0,55,0,25,8,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,3,38,2,0,0,0,47,0,0,0,0,0,28
CHI,3,10,2,0,7,7,12,3,0,1,24,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,14,0,0,1,0,16,1,0,0,0,0,4
FRE,6,20,2,0,1,0,16,2,0,0,25,0,32,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,1,0,8,13,0,0,0,0,33,0,0,0,0,0,17
